,birta,litur,hljóð,bragð,lykt,áferð,vídd,stefna,staðsetning,uppruni,rúmdreifing,lögun,tilvera,tími,hraði,aldur,venja,hreyfing,eðli,ástand,jafnvægi,hamur,þroski,raki,mengun,þyngd,eðliseiginleiki,efniseiginleiki,hitastig,veður,líf,líkamsgerð,heilsa,líkamstilfinning,kyn,útlit,líkamsástand,tilfinning,örvun,gáfur,reynsla,hegðun,dýrseðli,hæfni,samband,samúð,tilhneiging,félagsstaða,stjórnmál,trú,ríki,svæði,tala,fjöldi,verð,uppskera,gildi,vissa,nauðsyn,hagnýtni,erfiði,virkni,öryggi,regla,tenging,samræmi,nákvæmni,heild,ástæða,tilvísun,gagn
útlit,949,2753,72,91,211,750,1311,401,127,1440,332,726,105,73,280,1675,1434,108,925,191,106,150,61,74,258,157,349,64,166,37,119,739,506,91,74,4152,57,474,2446,1031,204,3616,434,810,670,264,405,138,236,282,1973,70,137,377,591,338,600,155,269,232,174,154,246,369,50,91,92,183,160,141,58
líkamsástand,7,47,9,5,4,11,70,11,16,24,27,10,39,29,25,397,229,15,9,13,27,7,2,1,15,5,21,17,14,1,15,35,104,22,14,58,276,11,23,42,23,207,68,8,150,24,27,109,74,118,267,2,23,60,81,24,435,4,86,5,26,18,167,62,29,23,31,35,62,4,85
tilfinning,191,237,30,38,39,37,333,26,20,92,40,17,102,30,99,554,247,27,28,25,73,8,6,13,44,36,37,3,63,1,35,126,352,112,28,389,11,1327,901,421,42,1455,89,302,193,54,146,67,92,79,482,7,29,129,187,45,246,20,46,33,33,14,41,61,31,27,26,106,52,19,2
örvun,483,420,60,101,166,359,1033,125,71,1831,198,104,104,327,475,955,1846,136,279,119,143,58,80,55,116,167,381,84,123,33,261,430,495,67,43,1957,17,590,7350,1243,200,5659,434,1212,728,202,606,89,247,157,1714,27,262,474,638,335,415,54,371,647,481,105,262,423,35,170,117,585,282,185,65
gáfur,276,273,44,53,38,170,349,95,57,555,85,55,137,32,117,669,967,114,53,99,70,43,17,14,139,59,155,17,60,4,77,310,442,79,50,817,40,289,1298,3391,352,4264,317,1305,384,328,602,146,558,325,1764,19,113,175,288,146,502,53,164,235,104,67,455,300,22,51,183,143,117,40,40
reynsla,9,63,6,11,4,37,166,38,23,188,53,8,110,28,55,398,315,23,40,13,45,14,2,1,31,22,76,9,20,8,23,166,75,9,32,167,12,45,195,376,964,918,69,662,44,384,57,149,190,131,2271,6,72,141,261,53,420,40,96,108,102,8,98,105,16,28,21,54,241,14,6
hegðun,1309,1198,165,236,254,1239,5569,424,582,3463,1310,301,360,847,1199,2479,5156,379,816,380,699,236,158,173,626,502,1460,398,483,92,323,2278,1424,189,104,4098,142,1257,6588,4082,1436,21031,1981,3121,1258,678,1702,698,1545,666,6325,219,461,2518,4401,995,6045,253,2217,1698,1721,298,1864,1756,350,525,723,765,2429,467,327
dýrseðli,85,119,18,19,22,67,138,24,34,272,45,28,23,55,43,198,433,46,32,12,44,25,7,7,40,9,75,10,31,3,43,75,122,40,14,248,30,52,237,236,53,633,1626,108,239,57,146,44,170,332,554,20,40,75,180,65,454,15,127,45,91,25,70,272,27,26,26,56,1201,118,30
hæfni,135,96,17,14,22,76,241,53,19,617,59,30,41,40,160,795,335,35,79,21,44,17,15,6,33,79,82,8,24,5,42,275,335,15,16,506,8,204,1067,1238,405,2880,112,2594,101,142,191,76,204,60,1501,5,47,107,245,103,352,11,106,173,89,25,152,164,18,25,74,97,155,31,7
samband,148,173,16,39,23,84,247,40,20,186,29,20,106,28,30,357,470,55,41,30,38,16,4,7,65,17,53,10,48,10,22,64,110,39,32,456,37,157,689,386,27,1059,181,130,778,58,281,98,159,222,874,8,37,81,130,47,205,17,55,55,45,25,121,180,16,25,36,59,86,24,37
samúð,56,244,19,30,32,63,343,43,38,244,106,41,124,53,80,416,463,64,102,35,76,32,7,6,50,12,88,35,58,7,44,116,87,34,31,328,23,81,310,298,453,858,186,242,108,743,93,110,216,317,3616,37,125,231,189,59,240,22,118,133,63,26,98,201,22,58,16,129,103,36,29
